YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1943,-5.49,-3.06,-0.29,3.29,12.49,20.57,22.13,20.54,16.16,9.25,3.17,-2.89,-4.05,5.16,21.08,9.53,7.93
1944,-1.04,-3.76,-0.69,5.12,17.50,19.59,22.55,22.61,17.52,10.34,5.67,-3.56,-2.56,7.31,21.58,11.18,9.38
1945,-8.67,-3.02,6.96,9.95,10.50,17.87,21.34,21.40,17.98,9.99,5.14,-4.65,-5.08,9.14,20.20,11.04,8.82
1946,-2.63,-3.99,6.91,7.01,12.90,17.91,21.92,18.93,18.08,13.78,6.90,-0.21,-3.76,8.94,19.59,12.92,9.42
1947,-1.19,-5.71,-1.15,6.38,11.68,18.87,20.44,24.11,17.85,15.56,3.41,-1.99,-2.37,5.64,21.14,12.27,9.17
1948,-7.37,-3.66,1.60,9.31,11.89,18.49,22.35,21.33,18.35,9.83,8.47,0.28,-4.34,7.60,20.72,12.22,9.05
1949,-0.34,-0.09,0.99,7.56,14.33,22.40,23.57,22.09,14.98,14.04,3.41,0.78,-0.05,7.63,22.69,10.81,10.27
1950,1.43,-3.93,-2.01,4.47,14.08,18.39,20.60,20.38,16.01,12.66,3.93,-2.66,-0.57,5.51,19.79,10.87,8.90
1951,-1.89,-2.49,1.87,7.27,14.12,19.10,21.34,20.31,16.31,12.58,1.34,-0.73,-2.35,7.75,20.25,10.08,8.93
1952,-1.90,-1.54,0.88,9.03,12.21,19.67,23.54,21.22,17.35,8.12,6.12,0.75,-1.39,7.37,21.48,10.53,9.50
1953,-0.33,-0.72,2.58,6.68,13.57,19.77,22.06,21.39,17.24,12.44,6.65,1.44,-0.10,7.61,21.07,12.11,10.17
1954,-4.72,0.60,0.50,8.56,12.51,20.13,20.93,19.42,16.82,12.19,5.40,-1.81,-0.89,7.19,20.16,11.47,9.48
1955,-3.98,-2.27,1.03,10.60,15.23,19.38,24.49,23.24,16.71,12.27,3.74,-3.79,-2.69,8.95,22.37,10.91,9.89
1956,-4.09,-2.06,-0.78,6.15,11.71,19.10,20.53,20.54,14.99,12.95,5.55,1.24,-3.31,5.69,20.06,11.16,8.40
1957,-6.33,-0.67,2.18,9.34,12.65,20.64,20.99,19.60,16.90,10.05,4.93,1.56,-1.92,8.06,20.41,10.63,9.29
1958,-3.81,-6.44,1.41,8.99,12.21,16.64,21.81,20.46,16.72,11.23,5.46,-5.43,-2.90,7.54,19.64,11.14,8.85
1959,-5.41,-4.32,-0.58,7.77,15.65,19.34,22.66,23.77,19.35,11.44,3.68,0.18,-5.05,7.61,21.92,11.49,8.99
1960,-3.08,-2.64,-4.37,9.10,14.49,18.76,20.61,999.90,999.90,999.90,999.90,999.90,-1.85,6.41,19.86,999.90,8.84
1961,-7.23,-2.77,1.49,4.61,12.00,17.73,21.26,21.15,20.59,12.75,5.15,-0.98,-4.07,6.03,20.05,12.83,8.71
1962,-4.97,-5.67,0.53,7.44,16.32,18.57,20.40,20.32,15.02,11.12,3.11,-3.58,-3.87,8.10,19.76,9.75,8.43
1963,-7.00,-7.05,2.15,7.05,11.84,19.58,21.49,18.21,14.20,14.23,6.73,-4.51,-5.88,7.01,19.76,11.72,8.15
1964,-1.23,-4.48,1.37,8.56,15.39,18.99,23.09,18.56,16.30,9.18,5.89,-1.14,-3.41,8.44,20.21,10.46,8.93
1965,-4.40,-3.19,-0.89,5.39,15.61,18.18,20.00,20.17,17.75,9.05,4.70,1.51,-2.91,6.70,19.45,10.50,8.44
1966,-6.16,-3.67,1.76,6.51,11.46,19.89,22.17,20.54,15.10,9.60,5.51,-1.68,-2.77,6.58,20.87,10.07,8.69
1967,-0.97,-6.11,-0.33,8.08,10.27,22.73,22.02,20.31,16.19,11.32,2.66,0.82,-2.92,6.01,21.69,10.06,8.71
1968,-6.51,-6.06,2.28,9.79,12.13,18.45,22.04,21.01,19.17,12.16,5.04,-2.68,-3.92,8.07,20.50,12.12,9.19
1969,-3.64,-3.85,-0.36,8.43,12.65,18.20,21.62,21.97,17.00,10.79,4.20,-3.80,-3.39,6.91,20.60,10.66,8.69
1970,-7.76,-3.80,-0.86,8.52,14.29,19.12,21.86,21.42,18.01,12.73,5.59,-2.37,-5.12,7.32,20.80,12.11,8.78
1971,-5.97,-2.58,-1.01,5.64,12.74,19.99,20.63,20.10,18.80,15.06,4.16,1.04,-3.64,5.79,20.24,12.67,8.77
1972,-3.41,-5.32,-0.81,5.30,15.30,17.24,21.90,20.05,17.34,8.12,2.46,-0.47,-2.56,6.60,19.73,9.31,8.27
1973,-2.26,-4.86,5.95,8.47,12.69,20.28,22.56,22.30,16.69,12.60,5.10,-1.44,-2.53,9.04,21.71,11.46,9.92
1974,-2.52,-5.16,0.73,8.10,11.96,18.85,21.28,21.26,15.51,9.74,4.77,0.05,-3.04,6.93,20.46,10.01,8.59
1975,-0.88,-1.42,-0.45,4.29,16.89,20.18,22.60,21.17,14.79,11.88,8.47,-1.90,-0.75,6.91,21.32,11.71,9.80
1976,-6.64,0.10,3.11,8.27,12.10,20.40,20.10,19.91,15.81,8.13,1.37,-5.39,-2.81,7.83,20.14,8.44,8.40
1977,-9.90,-3.89,4.54,8.51,15.89,18.20,22.41,20.23,17.18,9.95,6.45,-2.11,-6.39,9.65,20.28,11.19,8.68
1978,-6.25,-8.98,-1.90,6.00,14.31,18.59,21.51,21.44,16.18,9.92,4.81,-0.71,-5.78,6.14,20.51,10.30,7.79
1979,-6.20,-9.35,3.63,7.02,14.00,19.37,22.01,19.90,16.80,10.57,6.58,0.92,-5.42,8.22,20.43,11.32,8.63
1980,-3.27,-5.86,0.07,8.01,14.64,16.74,22.18,22.74,17.05,9.30,4.10,-3.69,-2.74,7.57,20.55,10.15,8.88
1981,-7.07,0.51,1.04,8.44,13.57,19.03,22.12,21.08,16.03,9.01,4.67,-1.67,-3.42,7.68,20.74,9.90,8.73
1982,-8.25,-4.88,0.25,5.31,16.11,16.75,22.09,18.33,16.45,11.42,6.07,3.02,-4.93,7.22,19.06,11.31,8.16
1983,-2.81,-1.38,2.60,6.43,12.15,19.77,23.45,21.79,17.58,10.95,4.87,-5.23,-0.39,7.06,21.67,11.13,9.87
1984,-6.48,0.98,-2.73,8.66,11.57,19.83,21.26,21.24,14.71,11.76,3.87,1.97,-3.58,5.83,20.78,10.11,8.29
1985,-6.08,-4.04,1.98,9.69,15.25,17.01,20.91,20.67,17.83,11.34,5.49,-3.61,-2.72,8.97,19.53,11.55,9.33
1986,-3.65,-4.21,2.29,8.74,15.34,17.83,21.70,19.88,16.52,10.45,3.16,0.20,-3.82,8.79,19.80,10.04,8.70
1987,-3.33,-3.92,3.12,9.95,15.79,20.45,23.39,20.46,17.40,8.77,5.77,1.23,-2.35,9.62,21.43,10.65,9.84
1988,-3.06,-4.30,1.75,7.79,15.31,17.73,23.76,22.42,16.70,8.23,6.06,-1.15,-2.04,8.28,21.30,10.33,9.47
1989,-0.44,-5.24,0.49,5.44,12.77,18.81,21.87,20.19,15.95,10.80,3.24,-8.14,-2.28,6.23,20.29,10.00,8.56
1990,0.75,-1.56,2.67,9.07,12.63,19.21,21.79,21.26,16.41,11.35,6.25,1.29,-2.98,8.12,20.75,11.34,9.31
1991,-3.40,-0.82,3.16,10.19,17.86,20.54,22.12,21.60,16.61,11.63,4.01,-0.46,-0.98,10.40,21.42,10.75,10.40
1992,-2.81,-2.46,-0.31,6.48,13.97,17.39,19.26,18.99,16.38,8.76,4.47,-0.15,-1.91,6.71,18.55,9.87,8.30
1993,-1.45,-6.36,-0.78,8.42,13.81,18.81,22.92,22.12,15.16,9.49,4.17,-1.43,-2.65,7.15,21.28,9.61,8.85
1994,-8.29,-5.18,0.69,8.90,12.51,20.46,22.89,19.91,16.51,11.15,7.22,1.04,-4.97,7.37,21.09,11.63,8.78
1995,-1.34,-5.69,3.17,5.62,13.72,20.94,22.53,22.68,15.48,12.25,2.36,999.90,-2.00,7.50,22.05,10.03,9.40
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,-0.73,0.91,6.05,10.66,19.61,20.66,19.65,16.15,10.58,3.45,0.21,999.90,5.87,19.97,10.06,8.03
1998,-0.17,1.49,2.82,8.57,17.43,18.79,21.20,22.09,17.93,11.76,5.91,2.14,0.51,9.61,20.69,11.87,10.67
1999,-4.41,-0.26,-0.22,8.08,15.69,20.54,23.82,20.28,18.26,10.40,6.92,0.34,-0.84,7.85,21.55,11.86,10.10
2000,-4.32,-0.86,4.75,7.10,14.48,18.60,20.12,20.30,16.53,11.60,4.10,-5.16,-1.61,8.78,19.67,10.74,9.39
2001,-2.45,-1.77,-0.17,8.80,15.24,19.77,21.33,23.08,17.36,11.97,8.59,2.47,-3.13,7.96,21.39,12.64,9.72
2002,0.07,-0.12,1.53,8.20,11.32,19.74,23.29,22.27,19.70,9.90,4.43,-1.70,0.81,7.02,21.77,11.34,10.23
2003,-6.91,-5.91,1.16,6.44,13.32,17.81,21.21,21.87,17.41,9.64,6.46,0.92,-4.84,6.97,20.30,11.17,8.40
2004,-7.78,-3.30,3.11,8.06,14.87,17.84,20.87,19.89,18.74,11.17,6.03,-0.99,-3.39,8.68,19.53,11.98,9.20
2005,-4.24,-3.39,-1.16,8.33,12.03,22.21,23.94,22.72,18.98,11.56,6.34,-2.65,-2.87,6.40,22.96,12.29,9.69
2006,1.65,-2.24,1.88,8.95,15.60,20.23,23.23,21.01,15.92,9.53,7.08,2.96,-1.08,8.81,21.49,10.84,10.02
2007,-1.68,-7.39,1.73,5.88,15.20,20.84,21.03,22.49,19.02,14.97,3.99,-1.41,-2.04,7.60,21.45,12.66,9.92
2008,-1.20,-3.75,-0.19,10.56,11.92,19.99,21.96,20.33,17.94,9.86,4.42,-1.39,-2.12,7.43,20.76,10.74,9.20
2009,-7.45,-2.59,1.96,8.22,14.04,18.09,19.44,21.24,16.91,9.26,6.74,-1.82,-3.81,8.07,19.59,10.97,8.71
2010,-4.82,-4.05,3.44,10.64,15.72,19.51,23.09,22.12,17.04,10.55,5.30,-3.19,-3.56,9.93,21.57,10.96,9.73
2011,-5.91,-4.05,-0.01,7.64,14.88,19.37,24.05,21.89,18.64,11.25,8.10,1.98,-4.38,7.50,21.77,12.66,9.39
2012,-0.90,-0.09,8.61,7.38,17.72,20.15,24.21,22.09,17.40,11.29,4.11,2.43,0.33,11.24,22.15,10.93,11.16
2013,-1.04,-3.27,0.51,8.03,16.36,18.78,22.54,20.61,16.36,12.37,3.20,-2.15,-0.63,8.30,20.64,10.64,9.74
2014,-6.59,-6.64,-2.82,7.68,14.28,20.45,20.35,20.60,17.36,11.92,3.29,0.92,-5.13,6.38,20.47,10.86,8.14
2015,-6.31,-11.59,-1.47,7.69,17.06,18.68,21.68,20.93,19.63,10.78,7.93,5.63,-5.66,7.76,20.43,12.78,8.83
2016,-2.73,-1.18,4.42,6.22,14.92,19.77,23.37,24.22,19.42,12.47,7.27,-0.43,0.57,8.52,22.45,13.05,11.15
2017,-0.48,1.67,0.62,10.32,13.42,19.61,21.48,20.39,18.58,13.88,4.39,-3.54,0.25,8.12,20.49,12.28,10.29
2018,-4.24,0.01,-0.29,4.01,18.31,19.56,23.51,22.66,19.56,10.26,2.01,0.71,-2.59,7.34,21.91,10.61,9.32
2019,-4.95,-2.39,-0.24,7.16,13.01,18.46,23.31,21.31,18.46,11.31,2.16,0.80,-2.21,6.64,21.03,10.64,9.03
2020,0.60,-1.40,5.15,6.35,13.30,19.50,25.34,23.04,999.90,999.90,999.90,999.90,0.00,8.27,22.63,999.90,10.99
